code_cluster,activités,balades,centres_de_tourisme,culture,evenements,logements,magasins,nourriture,parcs,sorties_soir,sports,sports_hiver,transports
332.0,166,0,9,259,69,154,0,145,88,25,246,0,7
333.0,138,0,8,131,70,75,0,41,60,6,77,0,2
334.0,243,0,24,289,85,158,0,284,147,10,340,0,18
335.0,121,3,12,262,156,78,0,180,20,1,16,0,3
336.0,19,0,1,37,28,7,0,20,6,0,1,0,0
337.0,102,5,7,163,47,38,0,114,15,1,12,0,0
338.0,20,1,19,243,32,27,1,136,11,1,160,0,0
339.0,20,0,27,544,49,39,0,203,21,3,116,0,1
340.0,0,0,0,3,0,0,0,0,1,0,4,0,0
341.0,7,1,9,50,24,24,0,9,2,3,129,0,1
342.0,6,0,8,43,34,24,1,21,5,0,144,0,2
343.0,28,1,11,178,8,18,0,120,4,7,30,0,2
344.0,26,1,11,344,15,28,0,151,6,11,88,0,1
345.0,13,1,4,225,106,19,0,119,7,4,72,0,0
346.0,11,0,4,80,0,7,0,70,1,4,15,0,2
347.0,174,0,27,789,108,146,0,753,41,61,172,0,29
348.0,10,0,7,326,22,11,0,153,2,12,31,0,0
350.0,57,0,16,264,57,61,1,265,6,20,65,0,6
352.0,7,0,2,60,2,8,0,59,1,1,44,0,3
353.0,40,0,4,213,21,69,1,162,18,14,64,0,0
354.0,17,1,13,300,25,55,0,168,6,8,73,0,0
355.0,16,0,6,261,9,18,0,82,3,0,41,0,0
356.0,14,0,4,343,44,14,1,109,2,0,34,0,0
357.0,0,0,1,9,1,6,0,24,0,0,8,0,0
358.0,12,0,4,242,9,29,0,99,2,3,21,0,0
359.0,74,0,14,339,250,128,0,2,232,2,145,0,0
360.0,13,0,2,51,44,21,0,16,33,2,20,0,0
361.0,51,0,8,145,129,56,0,73,58,5,78,0,0
362.0,24,0,9,164,100,315,0,111,127,4,55,0,0
363.0,78,0,4,150,64,80,0,96,70,9,191,0,1
364.0,125,0,6,357,118,60,0,159,37,2,140,0,22
366.0,258,0,19,618,228,168,1,184,114,25,431,0,25
367.0,2,0,0,13,6,3,0,8,8,0,15,0,0
369.0,92,0,17,270,150,41,0,82,33,6,364,0,15
370.0,174,0,51,384,56,75,0,126,52,6,513,15,6
371.0,127,0,1,37,75,34,0,40,8,5,7,0,0
372.0,1,0,2,144,2,6,0,57,6,2,17,0,0
373.0,36,0,1,135,45,45,1,102,20,4,78,0,0
