Latitude,Longitude,department (name),department (code),communes (code),Nom,Mois,Pression station,Température (°C),Précipitations dans les 24 dernières heures,Rafales sur une période
-49.352333,70.243333,Terres australes et antarctiques françaises,984,98412,KERGUELEN,1,100190.22471910113,9.768539325842719,169.8,15.052808988764045
-49.352333,70.243333,Terres australes et antarctiques françaises,984,98412,KERGUELEN,2,100147.125,10.010000000000023,187.4,16.276249999999997
-49.352333,70.243333,Terres australes et antarctiques françaises,984,98412,KERGUELEN,3,100540.98765432098,9.360493827160516,114.8,14.451851851851854
-49.352333,70.243333,Terres australes et antarctiques françaises,984,98412,KERGUELEN,4,99720.17857142857,7.192857142857167,261.8,15.041071428571428
-49.352333,70.243333,Terres australes et antarctiques françaises,984,98412,KERGUELEN,5,99669.18032786885,4.752459016393468,203.7,14.872131147540985
-49.352333,70.243333,Terres australes et antarctiques françaises,984,98412,KERGUELEN,6,99884.62686567164,3.974626865671665,95.60000000000001,13.986567164179105
-49.352333,70.243333,Terres australes et antarctiques françaises,984,98412,KERGUELEN,7,99029.6551724138,2.3965517241379533,209.8,14.78735632183908
-49.352333,70.243333,Terres australes et antarctiques françaises,984,98412,KERGUELEN,8,99482.56410256411,3.332478632478655,474.8,16.513675213675214
-49.352333,70.243333,Terres australes et antarctiques françaises,984,98412,KERGUELEN,9,99589.0625,3.6312500000000183,166.2,16.975
-49.352333,70.243333,Terres australes et antarctiques françaises,984,98412,KERGUELEN,10,99761.31868131868,5.349450549450573,170.0,15.541758241758242
-49.352333,70.243333,Terres australes et antarctiques françaises,984,98412,KERGUELEN,11,99779.39393939394,7.704545454545478,198.2,15.384848484848485
-49.352333,70.243333,Terres australes et antarctiques françaises,984,98412,KERGUELEN,12,99826.15384615384,8.694505494505519,157.4,15.200000000000001
-20.8925,55.528667,La Réunion,974,97418,GILLOT-AEROPORT,1,101000.09785932722,27.064464831804305,13287.4,8.444097859327217
-20.8925,55.528667,La Réunion,974,97418,GILLOT-AEROPORT,2,101090.10862186016,26.97298031228787,10950.6,8.124439918533604
-20.8925,55.528667,La Réunion,974,97418,GILLOT-AEROPORT,3,101029.3608779858,26.861588121368648,15554.7,8.77088444157521
-20.8925,55.528667,La Réunion,974,97418,GILLOT-AEROPORT,4,101333.54578096948,25.850089766606846,4507.4,8.830969479353682
-20.8925,55.528667,La Réunion,974,97418,GILLOT-AEROPORT,5,101641.37963843958,24.070313986679373,2537.2,8.917507136060893
-20.8925,55.528667,La Réunion,974,97418,GILLOT-AEROPORT,6,101855.88888888889,22.44636363636366,2464.2,10.765050505050505
-20.8925,55.528667,La Réunion,974,97418,GILLOT-AEROPORT,7,101886.70874661858,21.80676284941391,1310.5,9.974030658250676
-20.8925,55.528667,La Réunion,974,97418,GILLOT-AEROPORT,8,101997.89043336059,21.898037612428478,1577.0,9.633033524121014
-20.8925,55.528667,La Réunion,974,97418,GILLOT-AEROPORT,9,101892.99258037923,22.401319043693345,1319.7,9.51030502885408
-20.8925,55.528667,La Réunion,974,97418,GILLOT-AEROPORT,10,101643.91093117409,23.762429149797597,1724.8,8.321214574898786
-20.8925,55.528667,La Réunion,974,97418,GILLOT-AEROPORT,11,101453.86589403973,24.99155629139075,1767.7,8.072185430463577
-20.8925,55.528667,La Réunion,974,97418,GILLOT-AEROPORT,12,101239.10059960026,26.75283144570289,4544.5,8.51545636242505
-12.8055,45.282833,Mayotte,976,97615,PAMANDZI,1,100989.18504314478,28.083125599233004,12634.8,7.468552253116012
-12.8055,45.282833,Mayotte,976,97615,PAMANDZI,2,101013.02093718844,28.122133599202417,8855.5,6.125623130608176
-12.8055,45.282833,Mayotte,976,97615,PAMANDZI,3,101029.93534482758,28.608512931034507,6595.1,5.849245689655173
-12.8055,45.282833,Mayotte,976,97615,PAMANDZI,4,101127.02619414484,28.855624036979997,2071.0,5.865485362095531
-12.8055,45.282833,Mayotte,976,97615,PAMANDZI,5,101388.95204262878,27.8840142095915,239.5,7.461634103019538
-12.8055,45.282833,Mayotte,976,97615,PAMANDZI,6,101563.89513108614,26.468726591760323,352.0,8.100936329588015
-12.8055,45.282833,Mayotte,976,97615,PAMANDZI,7,101632.6015037594,25.503609022556414,129.5,7.885563909774436
-12.8055,45.282833,Mayotte,976,97615,PAMANDZI,8,101672.36036036036,25.282342342342368,233.8,6.6866666666666665
-12.8055,45.282833,Mayotte,976,97615,PAMANDZI,9,101560.5837173579,25.57204301075271,180.8,5.688018433179724
-12.8055,45.282833,Mayotte,976,97615,PAMANDZI,10,101375.11586452763,26.74028520499111,644.1,5.820855614973262
-12.8055,45.282833,Mayotte,976,97615,PAMANDZI,11,101236.68085106384,27.768652482269527,1379.5,6.108085106382979
-12.8055,45.282833,Mayotte,976,97615,PAMANDZI,12,101126.38525564804,28.322948870392413,3589.6,5.841736028537455
3.640167,-54.028333,Guyane,973,97353,MARIPASOULA,1,100084.78060046189,25.886374133949214,2251.0,4.181524249422632
3.640167,-54.028333,Guyane,973,97353,MARIPASOULA,2,100029.40149625935,25.744887780548652,3982.9,4.137655860349128
3.640167,-54.028333,Guyane,973,97353,MARIPASOULA,3,100068.93081761006,25.9631027253669,5514.2,3.8132075471698115
3.640167,-54.028333,Guyane,973,97353,MARIPASOULA,4,100021.74097664544,26.147133757961804,5351.4,3.695541401273885
3.640167,-54.028333,Guyane,973,97353,MARIPASOULA,5,100097.9945054945,26.225274725274744,4059.3,3.201648351648352
3.640167,-54.028333,Guyane,973,97353,MARIPASOULA,6,100214.0354767184,26.06496674057652,5281.9,3.0940133037694015
3.640167,-54.028333,Guyane,973,97353,MARIPASOULA,7,100157.46300211416,26.273150105708265,2811.2,3.1881606765327697
