code_cluster,code_insee_centre_zone_emploi,nom_standard,latitude_centre,longitude_centre,nearest_meteo_station
1,01053,L'Abergement-Clémenciat,46.11441566265061,5.248933734939759,69299
2,69264,Ambérieux-en-Dombes,46.039225,4.823675,69299
3,01034,Ambléon,45.826839285714286,5.64075,69299
4,74012,Anglefort,46.20052380952381,5.930119047619048,69299
5,01283,Apremont,46.17922857142857,5.5891142857142855,69299
6,71270,Arbigny,46.3302,4.923428571428572,69299
7,69123,Balan,45.72702857142857,5.087528571428572,69299
8,02691,Abbécourt,49.8251179245283,3.3613113207547167,59256
9,02722,Acy,49.362870588235296,3.3373882352941178,51449
10,02408,Agnicourt-et-Séchelles,49.58707522123894,3.7651902654867255,51449
11,59392,Any-Martin-Rieux,49.89105633802816,3.942605633802817,51449
12,02168,Arcy-Sainte-Restitue,49.088361344537816,3.413890756302521,51449
13,03310,Abrest,46.20363970588235,3.399316176470588,63113
14,03190,Agonges,46.54157425742574,3.3013663366336634,63113
15,03185,Archignat,46.3630125,2.666575,63113
16,04070,Aiglun,44.17080165289256,6.230181818181818,05046
17,04112,Allemagne-en-Provence,43.90484126984127,5.865428571428572,13054
18,06088,Annot,43.90903448275862,7.081913793103448,06088
19,05061,Claret,44.523784,6.005464,05046
20,84035,Montsalier,43.89277777777778,5.240777777777778,13054
21,06029,Peyroules,43.69031707317073,6.904341463414633,06088
22,05023,Abriès-Ristolas,44.80869444444445,6.628638888888889,05046
23,06083,Beausoleil,43.86244444444444,7.469888888888889,06088
24,43137,Accons,45.08109090909091,4.309402597402597,43062
25,07019,Ailhon,44.610594285714285,4.341131428571429,26198
26,26198,Alba-la-Romaine,44.57261538461538,4.898892307692307,26198
27,26362,Alboussière,44.81627848101266,5.059696202531645,26198
28,38544,Andance,45.29942361111111,4.7988125,69299
29,43157,Le Béage,45.05897826086957,3.758978260869565,43062
30,84019,Bidon,44.3712,4.73508,26198
31,51454,Acy-Romance,49.50215730337079,4.298640449438202,51449
32,08105,Aiglemont,49.78146111111111,4.586766666666667,51449
33,08409,Alland'Huy-et-Sausseuil,49.5022625698324,4.8998715083798885,51449
34,09225,Aigues-Juntes,42.99084758364312,1.6790669144981412,09289
35,31483,Aleu,43.06808620689655,0.8551609195402299,09289
36,11069,Artigues,43.12301294498382,2.231148867313916,66136
37,31555,Lézat-sur-Lèze,43.531674922600615,1.4071207430340558,31069
38,10387,Ailleville,48.26509776536312,4.265357541899442,10030
39,52448,Arrembécourt,48.51733333333333,4.568333333333333,10030
40,10323,Avant-lès-Marcilly,48.475171875,3.6773125,10030
41,11262,Albas,43.14160784313726,2.808098039215686,66136
42,81065,Les Brunels,43.48873684210526,2.216578947368421,31069
43,66136,Camps-sur-l'Agly,42.86722222222223,2.597888888888889,66136
44,12202,Agen-d'Aveyron,44.42275939849624,2.6134586466165413,12145
45,12145,Aguessac,43.97976923076923,3.0270109890109893,12145
46,12300,Les Albres,44.44217741935484,2.108532258064516,46127
47,81004,La Bastide-Solages,43.986250000000005,2.5591666666666666,12145
48,13001,Aix-en-Provence,43.533166666666666,5.469555555555555,13054
49,13055,Allauch,43.34455555555555,5.462111111111112,13054
50,13056,Alleins,43.57973076923077,5.077384615384616,13054
51,13004,Arles,43.74535,4.7027,13054
52,84007,Barbentane,43.92969565217391,4.748043478260869,26198
53,27467,Ablon,49.33154621848739,0.4106638655462185,76116
54,14118,Agy,49.13835789473684,-0.4276684210526316,14137
55,14366,Auvillars,49.15161842105263,0.2174736842105263,14137
56,14762,Beaumesnil,48.88691666666667,-0.9269166666666666,14137
57,50502,La Cambe,49.29958823529412,-1.013941176470588,14137
58,61169,Condé-en-Normandie,48.887,-0.5594,14137
59,15187,Allanche,45.06366666666666,3.0332261904761904,43062
60,19275,Ally,45.433773333333335,2.342766666666667,63113
61,15014,Arnac,44.90163725490196,2.409529411764706,12145
62,63178,Montgreleix,45.32505,3.333325,63113
63,87154,Abzac,45.938833333333335,0.6811111111111111,87085
64,16015,Les Adjots,45.72618695652174,0.1963173913043478,86194
65,16102,Angeac-Champagne,45.56079057591624,-0.2760104712041885,33281
66,24322,Aubeterre-sur-Dronne,45.275597402597406,0.5961731601731602,87085
67,33243,Bazac,44.94285,-0.146,33281
68,17300,Aigrefeuille-d'Aunis,46.165361445783134,-0.982433734939759,17323
69,17299,Île-d'Aix,45.92668292682927,-0.8901951219512194,17323
70,17415,Annepont,45.72614285714286,-0.5860068027210884,17323
71,17306,Arces,45.70409803921569,-1.0039607843137257,17323
72,79191,Aulnay,46.022,-0.308,86194
73,33063,Boisredon,44.928256097560975,-0.5618109756097561,33281
74,18033,Achères,46.93372941176471,2.4699529411764707,18033
75,58194,Apremont-sur-Allier,46.98424242424242,2.933909090909091,18033
76,45155,Argent-sur-Sauldre,47.46142857142858,2.500714285714286,18033
77,58086,Assigny,47.33654838709678,2.814451612903226,18033
78,36044,Beddes,46.7094647887324,1.656680751173709,18033
79,18279,Brinay,47.193714285714286,2.032,18033
80,19272,Affieux,45.2651007751938,1.7954883720930233,46127
81,19031,Albignac,45.18672448979592,1.416204081632653,46127
82,87085,Saint-Éloy-les-Tuileries,45.56008333333333,1.2778333333333334,87085
83,21054,Agencourt,47.06933070866142,4.789307086614173,21473
84,21231,Agey,47.379275862068965,5.0441974921630095,21473
85,21154,Aignay-le-Duc,47.55725751072961,4.450987124463519,21473
86,71014,Bard-le-Régulier,47.11671428571429,4.308571428571429,21473
87,39198,Billey,47.0656403508772,5.5232982456140345,21473
88,89024,Channay,47.864,4.3506,10030
89,22278,Allineuc,48.469206896551725,-2.860086206896552,22168
90,22093,Andel,48.40794871794872,-2.448435897435897,35281
91,22050,Aucaleuc,48.42450746268657,-2.154537313432836,35281
92,22070,Bégard,48.56332653061224,-3.197530612244898,22168
93,22113,Berhet,48.734738461538456,-3.3057538461538463,22168
94,29024,Bulat-Pestivien,48.30491549295775,-3.494605633802817,22168
95,56178,Le Cambout,48.18031818181819,-2.7686818181818182,22168
96,35288,Lancieux,48.552166666666665,-1.8322592592592597,35281
97,29151,Plougras,48.57554237288135,-3.926152542372882,29075
98,23096,Ahun,46.10843388429752,2.0251487603305787,87085
99,24520,Alles-sur-Dordogne,44.86877570093458,1.1185794392523365,46127
100,24037,Badefols-sur-Dordogne,44.81887417218543,0.4709139072847682,46127
101,47323,Biron,44.6574,0.8008000000000001,46127
102,25056,Abbans-Dessous,47.227011363636365,6.081276515151515,21473
103,70550,Abbenans,47.4628947368421,6.368157894736842,68042
104,25388,Abbévillers,47.42451449275362,6.721275362318841,68042
105,25462,Les Alliés,47.007955056179775,6.42988202247191,68042
106,39478,Chapelle-des-Bois,46.46191549295774,5.843154929577464,69299
107,39300,Saraz,46.70694755244755,5.666087412587412,21473
108,84138,Arnayon,44.34431868131868,5.302516483516484,26198
109,26281,Arthémonay,45.06022807017544,5.155438596491228,26198
110,27056,Aclou,49.11605660377358,0.6383301886792453,76116
111,28134,Acon,48.73195652173913,1.3414782608695652,76116
112,27229,Acquigny,48.99819760479042,1.1075988023952097,76116
113,27681,Ailly,49.243745454545454,1.4897272727272728,76116
114,76540,Alizay,49.29410975609756,1.0644146341463414,76116
115,61214,Ambenay,48.805625,0.701875,61077
116,28085,Allonnes,48.41250993377484,1.5280132450331123,91027
117,28088,Alluyes,48.12580952380952,1.3054920634920637,37179
118,28280,Argenvilliers,48.41905882352941,0.9585098039215686,61077
119,45234,Baigneaux,48.04362068965518,1.7211379310344823,91027
120,29019,Argol,48.44914130434783,-4.4220434782608695,29075
121,29233,Arzano,47.8963125,-3.5799375,56009
122,29232,Audierne,48.00368674698795,-4.180433734939759,29075
123,2A004,Afa,42.02224691358025,8.891061728395062,2A004
124,2A249,Altagène,41.699838709677415,9.005806451612903,2A004
125,2A247,Bonifacio,41.62,9.20525,2A004
126,2B123,Aghione,42.13816666666666,9.3834,2B148
127,2B096,Aiti,42.33296551724138,9.211189655172417,2B148
128,2B050,Algajola,42.558527777777776,8.94125,2B148
129,2B033,Barbaggio,42.53538392857143,9.395928571428572,2B148
