code_cluster,code_insee_centre_zone_emploi,latitude_centre,longitude_centre,ville_principale
1,01053,46.11441566265061,5.248933734939759,Bourg-en-Bresse
2,69264,46.039225,4.823675,Trévoux
3,01034,45.826839285714286,5.64075,Belley
4,74012,46.20052380952381,5.930119047619048,Valserhône
5,01283,46.17922857142857,5.5891142857142855,Oyonnax
6,71270,46.3302,4.9234285714285715,Bâgé-Dommartin
7,69123,45.72702857142857,5.087528571428572,Charvieu-Chavagneux
8,02691,49.8251179245283,3.3613113207547167,Saint-Quentin
9,02722,49.362870588235296,3.3373882352941178,Soissons
10,02408,49.58707522123894,3.7651902654867255,Laon
11,59392,49.891056338028164,3.9426056338028173,Hirson
12,02168,49.088361344537816,3.413890756302521,Château-Thierry
13,03310,46.20363970588235,3.399316176470588,Vichy
14,03190,46.54157425742574,3.3013663366336634,Moulins
15,03185,46.3630125,2.666575,Montluçon
16,04070,44.170801652892564,6.230181818181818,Digne-les-Bains
17,04112,43.90484126984127,5.865428571428572,Manosque
18,06088,43.90903448275862,7.081913793103448,Nice
19,05061,44.523784,6.005464,Gap
20,84035,43.89277777777778,5.240777777777778,Plan-d'Orgon
21,06029,43.69031707317073,6.904341463414633,Antibes
22,05023,44.80869444444445,6.628638888888889,Briançon
23,06083,43.86244444444444,7.469888888888889,Menton
24,43137,45.08109090909091,4.309402597402597,Monistrol-sur-Loire
25,07019,44.610594285714285,4.341131428571429,Aubenas
26,26198,44.57261538461538,4.898892307692307,Montélimar
27,26362,44.81627848101266,5.059696202531645,Valence
28,38544,45.29942361111111,4.7988125,Vienne
29,43157,45.05897826086957,3.7589782608695654,Le Puy-en-Velay
30,84019,44.3712,4.73508,Pierrelatte
31,51454,49.50215730337079,4.298640449438202,Rethel
32,08105,49.78146111111111,4.586766666666667,Charleville-Mézières
33,08409,49.5022625698324,4.8998715083798885,Sedan
34,09225,42.990847583643124,1.6790669144981412,Pamiers
35,31483,43.06808620689655,0.8551609195402299,Saint-Gaudens
36,11069,43.12301294498382,2.231148867313916,Carcassonne
37,31555,43.531674922600615,1.4071207430340558,Toulouse
38,10387,48.26509776536312,4.265357541899442,Troyes
39,52448,48.51733333333333,4.568333333333333,Chavanges
40,10323,48.475171875,3.6773125,Romilly-sur-Seine
41,11262,43.14160784313726,2.808098039215686,Narbonne
42,81065,43.48873684210526,2.216578947368421,Revel
