Mois,Meteo_Pression_station_moyenne,Meteo_Temperature_moyenne,Meteo_Precipitations_moyenne,Meteo_Rafales_moyenne,code_cluster,ID
1,101571.69836956522,8.805434782608717,1459.4,5.537092391304348,123,123_1
1,101571.69836956522,8.805434782608717,1459.4,5.537092391304348,124,124_1
1,101571.69836956522,8.805434782608717,1459.4,5.537092391304348,125,125_1
2,102062.0324005891,10.514874815905765,912.4,5.4122238586156115,123,123_2
2,102062.0324005891,10.514874815905765,912.4,5.4122238586156115,124,124_2
2,102062.0324005891,10.514874815905765,912.4,5.4122238586156115,125,125_2
3,101695.64885496184,11.120763358778648,526.3,5.545038167938931,123,123_3
3,101695.64885496184,11.120763358778648,526.3,5.545038167938931,124,124_3
3,101695.64885496184,11.120763358778648,526.3,5.545038167938931,125,125_3
4,101360.91858037579,13.6096033402923,1116.7,5.097703549060543,123,123_4
4,101360.91858037579,13.6096033402923,1116.7,5.097703549060543,124,124_4
4,101360.91858037579,13.6096033402923,1116.7,5.097703549060543,125,125_4
5,101328.13524590163,17.18954918032789,899.3,5.4387295081967215,123,123_5
5,101328.13524590163,17.18954918032789,899.3,5.4387295081967215,124,124_5
5,101328.13524590163,17.18954918032789,899.3,5.4387295081967215,125,125_5
6,101367.78887303852,21.577318116975775,1135.0,5.532382310984308,123,123_6
6,101367.78887303852,21.577318116975775,1135.0,5.532382310984308,124,124_6
6,101367.78887303852,21.577318116975775,1135.0,5.532382310984308,125,125_6
7,101305.64917127072,24.999309392265218,472.0,5.669889502762431,123,123_7
7,101305.64917127072,24.999309392265218,472.0,5.669889502762431,124,124_7
7,101305.64917127072,24.999309392265218,472.0,5.669889502762431,125,125_7
8,101344.93261455526,25.004312668463637,529.1,5.679649595687332,123,123_8
8,101344.93261455526,25.004312668463637,529.1,5.679649595687332,124,124_8
8,101344.93261455526,25.004312668463637,529.1,5.679649595687332,125,125_8
9,101588.37988826816,21.90991620111734,1147.9,5.7081005586592175,123,123_9
9,101588.37988826816,21.90991620111734,1147.9,5.7081005586592175,124,124_9
9,101588.37988826816,21.90991620111734,1147.9,5.7081005586592175,125,125_9
10,101448.06756756757,17.634594594594617,2003.7,5.559459459459459,123,123_10
10,101448.06756756757,17.634594594594617,2003.7,5.559459459459459,124,124_10
10,101448.06756756757,17.634594594594617,2003.7,5.559459459459459,125,125_10
11,101385.54149085794,13.623628691983145,3156.1,5.078340365682138,123,123_11
11,101385.54149085794,13.623628691983145,3156.1,5.078340365682138,124,124_11
11,101385.54149085794,13.623628691983145,3156.1,5.078340365682138,125,125_11
12,101566.44137931034,10.91186206896554,1946.8,5.371724137931034,123,123_12
12,101566.44137931034,10.91186206896554,1946.8,5.371724137931034,124,124_12
12,101566.44137931034,10.91186206896554,1946.8,5.371724137931034,125,125_12
1,101466.07541899441,8.85614525139667,809.5,6.263547486033519,126,126_1
1,101466.07541899441,8.85614525139667,809.5,6.263547486033519,127,127_1
1,101466.07541899441,8.85614525139667,809.5,6.263547486033519,128,128_1
1,101466.07541899441,8.85614525139667,809.5,6.263547486033519,129,129_1
2,102040.31380753138,10.310251046025126,450.4,6.50794979079498,126,126_2
2,102040.31380753138,10.310251046025126,450.4,6.50794979079498,127,127_2
2,102040.31380753138,10.310251046025126,450.4,6.50794979079498,128,128_2
2,102040.31380753138,10.310251046025126,450.4,6.50794979079498,129,129_2
3,101578.1223628692,11.610759493670908,912.5,6.429324894514768,126,126_3
3,101578.1223628692,11.610759493670908,912.5,6.429324894514768,127,127_3
3,101578.1223628692,11.610759493670908,912.5,6.429324894514768,128,128_3
3,101578.1223628692,11.610759493670908,912.5,6.429324894514768,129,129_3
4,101354.13513513513,13.751891891891914,912.9,5.6613513513513505,126,126_4
4,101354.13513513513,13.751891891891914,912.9,5.6613513513513505,127,127_4
4,101354.13513513513,13.751891891891914,912.9,5.6613513513513505,128,128_4
4,101354.13513513513,13.751891891891914,912.9,5.6613513513513505,129,129_4
5,101412.00626959247,17.802194357366794,640.9,5.799373040752351,126,126_5
5,101412.00626959247,17.802194357366794,640.9,5.799373040752351,127,127_5
5,101412.00626959247,17.802194357366794,640.9,5.799373040752351,128,128_5
5,101412.00626959247,17.802194357366794,640.9,5.799373040752351,129,129_5
6,101194.93589743589,21.54786324786327,1080.2,5.381623931623931,126,126_6
6,101194.93589743589,21.54786324786327,1080.2,5.381623931623931,127,127_6
6,101194.93589743589,21.54786324786327,1080.2,5.381623931623931,128,128_6
6,101194.93589743589,21.54786324786327,1080.2,5.381623931623931,129,129_6
7,101244.5260663507,25.518246445497653,151.8,5.2213270142180095,126,126_7
7,101244.5260663507,25.518246445497653,151.8,5.2213270142180095,127,127_7
7,101244.5260663507,25.518246445497653,151.8,5.2213270142180095,128,128_7
7,101244.5260663507,25.518246445497653,151.8,5.2213270142180095,129,129_7
8,101247.06051873199,26.18789625360233,44.5,5.811239193083574,126,126_8
8,101247.06051873199,26.18789625360233,44.5,5.811239193083574,127,127_8
8,101247.06051873199,26.18789625360233,44.5,5.811239193083574,128,128_8
8,101247.06051873199,26.18789625360233,44.5,5.811239193083574,129,129_8
9,101472.69720101781,21.771755725190864,666.2,5.738931297709924,126,126_9
9,101472.69720101781,21.771755725190864,666.2,5.738931297709924,127,127_9
9,101472.69720101781,21.771755725190864,666.2,5.738931297709924,128,128_9
9,101472.69720101781,21.771755725190864,666.2,5.738931297709924,129,129_9
10,101385.29157667387,17.220734341252722,2051.7,5.975593952483801,126,126_10
10,101385.29157667387,17.220734341252722,2051.7,5.975593952483801,127,127_10
