GEO,TOUR_MEASURE,FREQ,TIME_PERIOD,ACTIVITY,UNIT_LOC_RANKING,L_STAY,OBS_VALUE_NIVEAU
2025-COM-01107,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01029,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01157,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01038,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01005,PLACE,A,2025,I551,_T,_T,20.0
2025-COM-01002,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01158,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01115,PLACE,A,2025,I551,_T,_T,12.0
2025-COM-01057,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01057,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01063,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01001,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01041,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01011,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01107,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01138,PLACE,A,2025,I553,_T,_T,75.0
2025-COM-01167,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01042,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01028,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01030,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01148,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01025,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01009,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01162,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01079,PLACE,A,2025,I553,_T,_T,33.0
2025-COM-01081,PLACE,A,2025,I553,_T,_T,37.0
2025-COM-01017,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01022,PLACE,A,2025,I551,_T,_T,6.0
2025-COM-01109,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01116,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01089,PLACE,A,2025,I551,_T,_T,59.0
2025-COM-01141,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01051,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01058,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01077,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01114,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01045,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01026,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01140,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01113,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01060,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01075,PLACE,A,2025,I553,_T,_T,25.0
2025-COM-01133,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01123,PLACE,A,2025,I553,_T,_T,121.0
2025-COM-01104,PLACE,A,2025,I553,_T,_T,66.0
2025-COM-01029,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01075,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01071,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01102,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01058,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01016,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01033,PLACE,A,2025,I551,_T,_T,148.0
2025-COM-01103,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01072,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01066,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01159,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01169,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01011,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01130,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01124,PLACE,A,2025,I553,_T,_T,0.0
