GEO,TOUR_MEASURE,HOTEL_STA,FREQ,TIME_PERIOD,TERRTYPO,ACTIVITY,TOUR_RESID,UNIT_LOC_RANKING,OBS_STATUS,DECIMALS,UNIT_MULT,OBS_STATUS_FR,CONF_STATUS,OBS_VALUE_NIVEAU
2023-DEP-31,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,254.309425325
2023-DEP-32,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,22.244116437
2023-DEP-16,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,57.835615321
2023-DEP-17,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,374.612337447
2023-DEP-18,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,83.963458682
2023-DEP-33,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,572.095146163
2023-DEP-34,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,503.238401385
2023-DEP-19,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,65.592674792
2023-DEP-2A,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,382.511199071
2023-DEP-2B,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,292.2836672
2023-DEP-35,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,343.846254608
2023-DEP-36,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,46.458094729
2023-DEP-21,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,305.050443958
2023-DEP-22,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,179.490282211
2023-DEP-23,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,20.373985264
2023-DEP-24,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,162.105725929
2023-DEP-37,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,234.827891554
2023-DEP-38,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,223.326213989
2023-DEP-39,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,74.181859728
2023-DEP-40,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,189.270080227
2023-DEP-41,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,139.921497154
2023-DEP-42,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,52.212943255
2023-DEP-43,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,49.975504095
2023-DEP-44,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,340.345770331
2023-DEP-45,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,139.10887627
2023-DEP-46,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,89.766224066
2023-DEP-47,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,50.755748351
2023-DEP-48,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,82.8327727890001
2023-DEP-49,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,155.211021193
2023-DEP-50,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,158.599366736
2023-DEP-51,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,171.754088968
2023-DEP-52,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,33.747162461
